nombre_proyecto,descripcion,sector,numero_grupo
Classic Era,Emprendimiento de camisas elegantes y versátiles para mujeres,Moda,1
Reestreno.co,Empresa de venta virtualde bolsos de lujo de segunda mano,Moda,2
DON-T BURN,Roll-ons de NADH Lavanda y Romero,Cosmeticos y bienestar,3
CRAF,Extraccion Minera de oro,Minero,4
Colombia Secreta,Ecohotel con cabañas en Armenia Quindio,Turismo,5
Los Robles,Adquisicion tenencia gestion alquiler venta y desarrollo de inmuebles,inmobiliario,6
Beef Society,Food trucks especializados en hamburguesasartesanales para crear comida rapida de alta calida de manera practica moderna y accesible,Comidas y bebidas,7
Impulsa Capital,Ofrece prestamos de capital de forma rapida para pequeñas empresas,Fintech,8
Grupo Ganadero MDJ,Seba de ganado premium en toda Colombia. Mejorar la genetica,Ganadero,9
JS Luxury Vehicles,Compra y venta de vehiculos premium y de alta gama,Comercializacion,10
TexNova,Distribucion de textiles sostenibles y telas especializadas para pequeños negocios,Textil,11
Café Raiz,Cafeteria sostenible dedicada a la venta de café y alimentos mientras transforma residuos organicos del café en vajillas y utencilios,Comidas y bebidas,12
FORGE,Agencia de servicios empresariales y programa de formacionque conecta talento universitario con empresas para soluciones de marketing estrategia y ventas,servicios,13
Aurea Living,desarrollo de proyectos residenciales enfocado a viviendas accesibles modernas y funcionales para personas dem ingresos bajos,inmobiliario,14
VISION,Adecuacion y amoblamiento de apartamentos VIS o en obra gris a traves de pequeños paquetes personalizados,inmobiliario,15
